年度期別,縣市別,社區大學名稱,據點名稱,據點地址
109年秋季班 ( 含暑期班 ),臺北市,臺北市松山社區大學,臺北市中崙高級中學,臺北市松山區八德路4段101號
109年秋季班 ( 含暑期班 ),臺北市,臺北市南港社區大學,成德校本部,臺北市南港區東新街108巷23號
109年秋季班 ( 含暑期班 ),臺北市,臺北市南港社區大學,港工校區, 臺北市南港區興中路29號
109年秋季班 ( 含暑期班 ),臺北市,臺北市南港社區大學,南軟教室,臺北市南港區三重路19-10號
109年秋季班 ( 含暑期班 ),臺北市,臺北市文山社區大學,臺北市立木柵國民中學,臺北市文山區木柵路三段102巷12號
109年秋季班 ( 含暑期班 ),臺北市,臺北市北投社區大學,臺北市立石牌國民小學,臺北市北投區致遠二路80號
109年秋季班 ( 含暑期班 ),臺北市,臺北市北投社區大學,秀山里里民活動中心,台北市中和街534號10樓
109年秋季班 ( 含暑期班 ),臺北市,臺北市北投社區大學,凱達格蘭文化館,台北市北投區中山路3-1號
109年秋季班 ( 含暑期班 ),臺北市,臺北市北投社區大學,淳覺植饌咖啡坊,台北市北投區北投路二段17號
109年秋季班 ( 含暑期班 ),臺北市,臺北市北投社區大學,臺北市立關渡國民中學,台北市北投區知行路212號
109年秋季班 ( 含暑期班 ),臺北市,臺北市萬華社區大學,萬華國中分校區,台北市萬華區西藏路201號
109年秋季班 ( 含暑期班 ),臺北市,臺北市信義社區大學,臺北市立信義國民中學,臺北市信義區松仁路158巷1號
109年秋季班 ( 含暑期班 ),臺北市,臺北市內湖社區大學,臺北市內湖高級工業職業學校,臺北市內湖路一段520號
109年秋季班 ( 含暑期班 ),臺北市,臺北市內湖社區大學,臺北市網球中心,台北市內湖區民權東路六段208號37號
109年秋季班 ( 含暑期班 ),臺北市,臺北市大同社區大學,臺北市立建成國民中學,臺北市大同區長安西路37-1號
109年秋季班 ( 含暑期班 ),臺北市,臺北市士林社區大學,教學點,臺北市承德路4段190號及192號3樓
109年秋季班 ( 含暑期班 ),臺北市,臺北市大安社區大學,台北市私立開平餐飲職業學校,台北市大安區復興南路二段148巷24號
109年秋季班 ( 含暑期班 ),臺北市,臺北市大安社區大學,台北市私立東方高級工商職業學校,台北市大安區信義路四段186巷7號1樓
109年秋季班 ( 含暑期班 ),臺北市,臺北市中正社區大學,臺北市中正社區大學,100臺北市中正區濟南路一段6號 
109年秋季班 ( 含暑期班 ),臺北市,臺北市中山社區大學,臺北市中山社區大學,臺北市中山區新生北路3段55號
109年秋季班 ( 含暑期班 ),臺中市,臺中市文山社區大學,中工教室,臺中市西屯區中工三路199號2樓
109年秋季班 ( 含暑期班 ),臺中市,臺中市文山社區大學,世貿教室,臺中市天保街60號
109年秋季班 ( 含暑期班 ),臺中市,臺中市文山社區大學,中山國中,臺中市西屯區寧夏路179號
109年秋季班 ( 含暑期班 ),臺中市,臺中市文山社區大學,重慶國小,臺中市西屯區重慶路358號
109年秋季班 ( 含暑期班 ),臺中市,臺中市文山社區大學,沙鹿高工,臺中市沙鹿區台灣大道7段823號
109年秋季班 ( 含暑期班 ),臺中市,臺中市文山社區大學,鹿寮國中,臺中市沙鹿區光華路385號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,市立大里高中,臺中市大里區國中路365號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,內新國小,臺中市大里區新仁路二段42號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,立新國小,臺中市大里區立新街338號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,大里國小,臺中市大里區新興路50號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,立新國中,臺中市大里區甲堤路236號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,來來溫水游泳池,臺中市大里區成功路547號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,國立興大附中,臺中市大里區東榮路369號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,國立霧峰農工,臺中市霧峰區中正路1222號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,國立霧峰國中,臺中市霧峰區國中路110號
109年秋季班 ( 含暑期班 ),臺中市,臺中市大屯社區大學,青年高中,臺中市大里區中湖路100號
