author,comment,sentiment,confidence
,AI浪潮襲來，泛科學將打造AI 學習群組，跟大家一起破浪前行。你，準備好要上船了嗎？填寫問卷，不錯過最新資訊►https://lihi1.me/NEU6Y,neutral,"{'positive': 0.03, 'neutral': 0.97, 'negative': 0.0}"
@huangjason6557,Chat GPT 現在階段給人的感覺是：”專家眼中的白痴，一般人眼中的專家“ ，目前還無法完全取代人類社會高度專業的工作，但是對於門外漢想要知道某個專業的基礎知識很有幫助。 當然 GPT 的缺點再玩過幾次就會發現，他就像是一個超級會抄答案的超級學生，不太會給出意料之外的答案，有什麼抄什麼，常常出現語句過長的情況。 期待 Bard 可以跟上 GPT 的腳步。,mixed,"{'positive': 0.31, 'neutral': 0.13, 'negative': 0.56}"
@TheStevenno3,"我的經驗，(ChatGPT)生成式模型適合產生那種""大眾約定成俗的答案"" 
比如模版回信、中階以下的翻譯(適合語言初學者)、跨領域的模版客服(連醫學也可以)、推薦餐廳、旅遊等等
不適合需要邏輯分析後的答案，",neutral,"{'positive': 0.14, 'neutral': 0.82, 'negative': 0.03}"
@SHYANG-tt3qv,太奇異了，前幾年擔心機器人、AI這類東西取代的是勞動力為主，重複性高的工作；沒想到大刀一揮，先取代的是繪畫、創意發想這類講求創造力的工作。,negative,"{'positive': 0.18, 'neutral': 0.08, 'negative': 0.73}"
@maxyeh4409,我曾經試過讓ChatGPT設立條件地寫出七言絕句，甚至要求ChatGPT要在某一句正確的押韻，ChatGPT也能做到，雖然字句本身用字表現並不讓人驚艷，但字句通暢，只要稍微修改，已經是可以拿來實際運用的等級，我是很震驚，這只是一個開始而已，發展速度絕對出乎人類意料,positive,"{'positive': 0.61, 'neutral': 0.32, 'negative': 0.07}"
@ryanminato1735,"GPT的最后一个T是Transformer，不是Train……
全名是Generative Pre-trained Transformer。

这个Transformer，本身就是Google Brain给的灵魂(Attention is All You Need - Google Brain, 2017)",neutral,"{'positive': 0.02, 'neutral': 0.97, 'negative': 0.0}"
@elinliu3775,看過一些人介紹chatgpt，唯獨你們介紹了他語言生成的方式跟邏輯，超棒的。,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
@dipsygenius,"GPT 全名是 Generative Pre-trained Transformer
影片中漏掉很重要的Transformer
這是目前這類語言模型的基石",neutral,"{'positive': 0.05, 'neutral': 0.94, 'negative': 0.01}"
@a86771688,對我而言，我希望預言模型能整合到語音模型，然後整合在科技產品內，這樣我就會感覺有一個很聰明的助手，例如：車載系統，我一個人開車，就可以順便跟AI聊天了，就不會無聊了,positive,"{'positive': 0.7, 'neutral': 0.29, 'negative': 0.01}"
@binladan911,之前看過有人問ChatGPT如何改善交通，比那些腳痛部的棺猿好多了。讓AI來接管交通部和交通局還有全面科技執法，交通一定會變超好。,positive,"{'positive': 0.91, 'neutral': 0.06, 'negative': 0.03}"
@ne239,"期待未來的發展
希望AI能像那些溫馨的機器人電影一樣(毀滅世界的就先不要了)
真的讓人覺得有人的溫度",positive,"{'positive': 0.98, 'neutral': 0.01, 'negative': 0.01}"
@f4568525153,openGPT是一個里程碑  真的是我以前想像中的機器人,neutral,"{'positive': 0.31, 'neutral': 0.69, 'negative': 0.0}"
@cht4155,必須要發展AI去制約AI，類似於放任一個AI自由進化(任何公司展的AI)，但也要由更強大的AI去管束或調整，因當一個超越人類控制的東西需要一個超越人類控制的東西去控制，例如電腦的運算複雜程度就是超越人的理解，但運用到其他語言模型展現程式碼人類就能清楚地去控制。,neutral,"{'positive': 0.08, 'neutral': 0.87, 'negative': 0.04}"
@heheheihei,当下真是人类最好的一个时代，多元有趣，科技让多元更多元，有趣更有趣！致敬科学家工程师,positive,"{'positive': 0.99, 'neutral': 0.0, 'negative': 0.0}"
@yooyoo1440,對學生來說把艱澀難懂的學術內容快速總結統整真的很方便！,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
